fips_code,state,year,civilian_noninstitutional_population,civilian_labor_force_total,civilian_labor_force_pct,total_employment,employment_pct,total_unemployment,unemployment_rate,population,violent_crime_total,violent_crime_rate
1,Alabama,2024,4096918,2359390,57.6,2289120,55.9,70270,3.0,5157699,18561,359.9
2,Alaska,2024,553822,360367,65.1,344005,62.1,16362,4.5,740133,5359,724.1
4,Arizona,2024,6041127,3741665,61.9,3602956,59.6,138709,3.7,7582384,31991,421.9
5,Arkansas,2024,2426129,1411833,58.2,1362381,56.2,49452,3.5,3088354,17893,579.4
6,California,2024,31646522,19692824,62.2,18650672,58.9,1042152,5.3,39431263,191641,486.0
8,Colorado,2024,4815264,3265465,67.8,3130455,65.0,135010,4.1,5957493,28378,476.3
9,Connecticut,2024,3001078,1932754,64.4,1868860,62.3,63894,3.3,3675069,4998,136.0
10,Delaware,2024,851021,510899,60.0,490887,57.7,20012,3.9,1051917,3795,360.8
12,Florida,2024,19014602,11114233,58.5,10741571,56.5,372662,3.4,23372215,62423,267.1
13,Georgia,2024,8799428,5423268,61.6,5237835,59.5,185433,3.4,11180878,36420,325.7
15,Hawaii,2024,1133108,682524,60.2,663668,58.6,18856,2.8,1446146,3148,217.7
16,Idaho,2024,1561448,996542,63.8,960892,61.5,35650,3.6,2001619,4616,230.6
17,Illinois,2024,10211552,6638412,65.0,6307121,61.8,331291,5.0,12710158,36756,289.2
18,Indiana,2024,5452601,3472118,63.7,3332175,61.1,139943,4.0,6924275,21669,312.9
19,Iowa,2024,2549473,1709319,67.0,1655382,64.9,53937,3.2,3241488,7885,243.3
20,Kansas,2024,2300206,1548387,67.3,1493815,64.9,54572,3.5,2970606,13033,438.7
21,Kentucky,2024,3602683,2095496,58.2,1994539,55.4,100957,4.8,4588372,9779,213.1
22,Louisiana,2024,3589178,2086957,58.1,1997405,55.7,89552,4.3,4597740,23900,519.8
23,Maine,2024,1176513,706563,60.1,685347,58.3,21216,3.0,1405012,1406,100.1
24,Maryland,2024,4975111,3240844,65.1,3137930,63.1,102914,3.2,6263220,26330,420.4
25,Massachusetts,2024,5901781,3920504,66.4,3764385,63.8,156119,4.0,7136171,22457,314.7
26,Michigan,2024,8173307,5060760,61.9,4823521,59.0,237239,4.7,10140459,44043,434.3
27,Minnesota,2024,4603986,3137560,68.1,3039323,66.0,98237,3.1,5793151,14868,256.6
28,Mississippi,2024,2312029,1274775,55.1,1234022,53.4,40753,3.2,2943045,6194,210.5
29,Missouri,2024,4946070,3143051,63.5,3026902,61.2,116149,3.7,6245466,28857,462.0
30,Montana,2024,916736,577376,63.0,560046,61.1,17330,3.0,1137233,4816,423.5
31,Nebraska,2024,1553930,1078216,69.4,1048970,67.5,29246,2.7,2005465,4423,220.5
32,Nevada,2024,2613852,1640898,62.8,1552386,59.4,88512,5.4,3267467,13135,402.0
33,New Hampshire,2024,1176653,770666,65.5,750824,63.8,19842,2.6,1409032,1551,110.1
34,New Jersey,2024,7656765,4899384,64.0,4672089,61.0,227295,4.6,9500851,20684,217.7
35,New Mexico,2024,1701256,981492,57.7,941313,55.3,40179,4.1,2130256,15276,717.1
36,New York,2024,16318569,9928106,60.8,9514544,58.3,413562,4.2,19867248,75528,380.2
37,North Carolina,2024,8774760,5295197,60.3,5101603,58.1,193594,3.7,11046024,41511,375.8
38,North Dakota,2024,612694,424634,69.3,414385,67.6,10249,2.4,796568,2026,254.3
39,Ohio,2024,9464520,5930015,62.7,5671397,59.9,258618,4.4,11883304,34898,293.7
40,Oklahoma,2024,3168358,1998552,63.1,1934503,61.1,64049,3.2,4095393,17316,422.8
41,Oregon,2024,3502918,2192526,62.6,2098204,59.9,94322,4.3,4272371,14143,331.0
42,Pennsylvania,2024,10591537,6571898,62.0,6321263,59.7,250635,3.8,13078751,32123,245.6
44,Rhode Island,2024,919874,593828,64.6,568593,61.8,25235,4.2,1112308,1708,153.6
45,South Carolina,2024,4387425,2562615,58.4,2457287,56.0,105328,4.1,5478831,23927,436.7
46,South Dakota,2024,713285,485148,68.0,476298,66.8,8850,1.8,924669,3350,362.3
47,Tennessee,2024,5764509,3458701,60.0,3341996,58.0,116705,3.4,7227750,42807,592.3
48,Texas,2024,24109743,15628870,64.8,14985161,62.2,643709,4.1,31290831,121845,389.4
49,Utah,2024,2660763,1826314,68.6,1766489,66.4,59825,3.3,3503613,8045,229.6
50,Vermont,2024,544322,353463,64.9,345352,63.4,8111,2.3,648493,1421,219.1
51,Virginia,2024,6976635,4552283,65.3,4419514,63.3,132769,2.9,8811195,19200,217.9
53,Washington,2024,6378118,4039646,63.3,3858057,60.5,181589,4.5,7958180,25950,326.1
54,West Virginia,2024,1432747,789616,55.1,757628,52.9,31988,4.1,1769979,4404,248.8
55,Wisconsin,2024,4813091,3142859,65.3,3048369,63.3,94490,3.0,5960975,16602,278.5
56,Wyoming,2024,465177,292189,62.8,283060,60.8,9129,3.1,587618,1195,203.4
